team,playerId,playerName,hole,round,strokes,par,stableford
Fee,40001087,Jose Maria Olazabal,18,1,4,4,0
Fee,40001087,Jose Maria Olazabal,17,1,4,4,0
Fee,40001087,Jose Maria Olazabal,16,1,4,3,-1
Fee,40001087,Jose Maria Olazabal,15,1,7,5,-3
Fee,40001087,Jose Maria Olazabal,14,1,5,4,-1
Fee,40001087,Jose Maria Olazabal,13,1,5,5,0
Fee,40001087,Jose Maria Olazabal,12,1,3,3,0
Fee,40001087,Jose Maria Olazabal,11,1,4,4,0
Fee,40001087,Jose Maria Olazabal,10,1,4,4,0
Fee,40001087,Jose Maria Olazabal,9,1,4,4,0
Fee,40001087,Jose Maria Olazabal,8,1,5,5,0
Fee,40001087,Jose Maria Olazabal,7,1,4,4,0
Fee,40001087,Jose Maria Olazabal,6,1,3,3,0
Fee,40001087,Jose Maria Olazabal,5,1,4,4,0
Fee,40001087,Jose Maria Olazabal,4,1,3,3,0
Fee,40001087,Jose Maria Olazabal,3,1,3,4,2
Fee,40001087,Jose Maria Olazabal,2,1,4,5,2
Fee,40001087,Jose Maria Olazabal,1,1,4,4,0
Fee,40001087,Jose Maria Olazabal,5,2,4,4,0
Fee,40001087,Jose Maria Olazabal,4,2,5,3,-3
Fee,40001087,Jose Maria Olazabal,3,2,5,4,-1
Fee,40001087,Jose Maria Olazabal,2,2,5,5,0
Fee,40001087,Jose Maria Olazabal,1,2,4,4,0
Fee,40001087,Jose Maria Olazabal,6,2,3,3,0
Fee,40001087,Jose Maria Olazabal,7,2,5,4,-1
Fee,40001087,Jose Maria Olazabal,8,2,5,5,0
Fee,40001087,Jose Maria Olazabal,9,2,6,4,-3
Fee,40001087,Jose Maria Olazabal,10,2,4,4,0
Fee,40001087,Jose Maria Olazabal,11,2,5,4,-1
Fee,40001087,Jose Maria Olazabal,12,2,3,3,0
Fee,40001087,Jose Maria Olazabal,13,2,5,5,0
Fee,40001087,Jose Maria Olazabal,14,2,4,4,0
Fee,40001087,Jose Maria Olazabal,15,2,5,5,0
Fee,40001087,Jose Maria Olazabal,16,2,2,3,2
Fee,40001087,Jose Maria Olazabal,17,2,4,4,0
Fee,40001087,Jose Maria Olazabal,18,2,5,4,-1
Fee,40003142,Kristoffer Reitan,12,1,2,3,2
Fee,40003142,Kristoffer Reitan,13,1,3,5,5
Fee,40003142,Kristoffer Reitan,14,1,4,4,0
Fee,40003142,Kristoffer Reitan,15,1,6,5,-1
Fee,40003142,Kristoffer Reitan,16,1,5,3,-3
Fee,40003142,Kristoffer Reitan,17,1,4,4,0
Fee,40003142,Kristoffer Reitan,18,1,4,4,0
Fee,40003142,Kristoffer Reitan,11,1,4,4,0
Fee,40003142,Kristoffer Reitan,10,1,4,4,0
Fee,40003142,Kristoffer Reitan,9,1,4,4,0
Fee,40003142,Kristoffer Reitan,8,1,4,5,2
Fee,40003142,Kristoffer Reitan,7,1,4,4,0
Fee,40003142,Kristoffer Reitan,6,1,3,3,0
Fee,40003142,Kristoffer Reitan,5,1,4,4,0
Fee,40003142,Kristoffer Reitan,4,1,4,3,-1
Fee,40003142,Kristoffer Reitan,3,1,4,4,0
Fee,40003142,Kristoffer Reitan,2,1,5,5,0
Fee,40003142,Kristoffer Reitan,1,1,4,4,0
Fee,40003142,Kristoffer Reitan,18,2,5,4,-1
Fee,40003142,Kristoffer Reitan,17,2,4,4,0
Fee,40003142,Kristoffer Reitan,16,2,3,3,0
Fee,40003142,Kristoffer Reitan,15,2,4,5,2
Fee,40003142,Kristoffer Reitan,14,2,3,4,2
Fee,40003142,Kristoffer Reitan,13,2,4,5,2
Fee,40003142,Kristoffer Reitan,12,2,2,3,2
Fee,40003142,Kristoffer Reitan,11,2,4,4,0
Fee,40003142,Kristoffer Reitan,10,2,5,4,-1
Fee,40003142,Kristoffer Reitan,9,2,4,4,0
Fee,40003142,Kristoffer Reitan,8,2,5,5,0
Fee,40003142,Kristoffer Reitan,7,2,4,4,0
Fee,40003142,Kristoffer Reitan,6,2,2,3,2
Fee,40003142,Kristoffer Reitan,5,2,4,4,0
Fee,40003142,Kristoffer Reitan,4,2,3,3,0
Fee,40003142,Kristoffer Reitan,3,2,3,4,2
Fee,40003142,Kristoffer Reitan,2,2,5,5,0
Fee,40003142,Kristoffer Reitan,1,2,4,4,0
Fee,40003142,Kristoffer Reitan,1,3,4,4,0
Fee,40003142,Kristoffer Reitan,2,3,5,5,0
Fee,40003142,Kristoffer Reitan,3,3,4,4,0
Fee,40003142,Kristoffer Reitan,4,3,4,3,-1
Fee,40003142,Kristoffer Reitan,5,3,4,4,0
Fee,40003142,Kristoffer Reitan,6,3,4,3,-1
Fee,40003142,Kristoffer Reitan,7,3,4,4,0
Fee,40003142,Kristoffer Reitan,8,3,4,5,2
Fee,40003142,Kristoffer Reitan,9,3,5,4,-1
Fee,40003142,Kristoffer Reitan,10,3,4,4,0
Fee,40003142,Kristoffer Reitan,11,3,4,4,0
Fee,40003142,Kristoffer Reitan,12,3,4,3,-1
Fee,40003142,Kristoffer Reitan,13,3,5,5,0
Fee,40003142,Kristoffer Reitan,14,3,3,4,2
Fee,40003142,Kristoffer Reitan,15,3,5,5,0
Fee,40003142,Kristoffer Reitan,16,3,3,3,0
Fee,40003142,Kristoffer Reitan,17,3,3,4,2
Fee,40003142,Kristoffer Reitan,18,3,4,4,0
Fee,40003193,Nicolai Hojgaard,18,1,5,4,-1
Fee,40003193,Nicolai Hojgaard,17,1,4,4,0
Fee,40003193,Nicolai Hojgaard,16,1,5,3,-3
Fee,40003193,Nicolai Hojgaard,15,1,5,5,0
Fee,40003193,Nicolai Hojgaard,14,1,4,4,0
Fee,40003193,Nicolai Hojgaard,11,1,5,4,-1
Fee,40003193,Nicolai Hojgaard,10,1,5,4,-1
Fee,40003193,Nicolai Hojgaard,9,1,3,4,2
Fee,40003193,Nicolai Hojgaard,8,1,6,5,-1
